county,year,number_sales,sales_percentage,population,pop_percentage
Mariposa,2015,4,0.01,152897,0.39
Mariposa,2016,9,0.01,153136,0.39
Mendocino,2020,112,0.08,262410,0.66
Mendocino,2015,96,0.15,263964,0.68
Mendocino,2021,190,0.08,260416,0.66
Mendocino,2018,159,0.1,264944,0.67
Mendocino,2017,99,0.11,264753,0.67
Mendocino,2019,107,0.07,263917,0.67
Mendocino,2016,77,0.11,265181,0.68
Merced,2020,169,0.12,17123,0.04
Merced,2018,147,0.09,17345,0.04
Merced,2019,149,0.1,17213,0.04
Merced,2015,47,0.07,17732,0.05
Merced,2016,59,0.08,17644,0.05
Merced,2017,92,0.1,17502,0.04
Merced,2021,429,0.17,17044,0.04
Modoc,2021,3,0,90806,0.23
Modoc,2017,1,0,91609,0.23
Mono,2019,11,0.01,278157,0.7
Mono,2021,37,0.01,283193,0.72
Mono,2017,3,0,272610,0.69
Mono,2020,22,0.02,280873,0.71
Mono,2015,3,0,267099,0.69
Mono,2018,11,0.01,274871,0.7
Mono,2016,6,0.01,268701,0.69
Monterey,2019,582,0.4,8709,0.02
Monterey,2018,678,0.44,8755,0.02
Monterey,2021,1344,0.54,8592,0.02
Monterey,2017,395,0.43,8691,0.02
Monterey,2015,274,0.43,8952,0.02
Monterey,2016,300,0.41,8795,0.02
Monterey,2020,677,0.47,8703,0.02
Napa,2020,499,0.35,13185,0.03
Napa,2016,234,0.32,13389,0.03
Napa,2018,503,0.32,13222,0.03
Napa,2021,911,0.37,13073,0.03
Napa,2017,286,0.31,13355,0.03
Napa,2015,220,0.34,13548,0.03
Napa,2019,460,0.31,13227,0.03
Nevada,2020,245,0.17,439008,1.11
Nevada,2021,373,0.15,439703,1.12
Nevada,2019,159,0.11,440874,1.12
Nevada,2015,79,0.12,433478,1.11
Nevada,2018,162,0.1,439618,1.11
Nevada,2017,97,0.1,438011,1.11
Nevada,2016,84,0.12,437116,1.12
Orange,2015,7329,11.46,140955,0.36
Orange,2020,19104,13.29,138433,0.35
Orange,2018,19755,12.76,139558,0.35
Orange,2017,11398,12.29,140299,0.36
Orange,2021,31917,12.9,137600,0.35
Orange,2016,8951,12.35,141089,0.36
Orange,2019,19066,13.03,138965,0.35
Placer,2016,480,0.66,100919,0.26
Placer,2015,456,0.71,100456,0.26
Placer,2019,1235,0.84,102298,0.26
Placer,2017,622,0.67,101384,0.26
Placer,2018,1179,0.76,101920,0.26
Placer,2020,1465,1.02,102392,0.26
Placer,2021,2699,1.09,102033,0.26
Plumas,2019,7,0,3191365,8.07
Plumas,2015,1,0,3155895,8.11
Plumas,2021,34,0.01,3161681,8.03
Plumas,2017,4,0,3188158,8.11
Plumas,2020,14,0.01,3184513,8.05
Plumas,2018,8,0.01,3193464,8.09
Plumas,2016,5,0.01,3170359,8.1
Riverside,2018,4458,2.88,395677,1
Riverside,2021,11097,4.49,409044,1.04
Riverside,2016,1857,2.56,382010,0.98
Riverside,2020,5135,3.57,405308,1.03
Riverside,2017,2699,2.91,388773,0.99
Riverside,2015,1608,2.51,376215,0.97
Riverside,2019,4719,3.23,401671,1.02
Sacramento,2017,1639,1.77,19642,0.05
Sacramento,2016,1109,1.53,19672,0.05
Sacramento,2015,1081,1.69,19701,0.05
Sacramento,2021,6212,2.51,19659,0.05
Sacramento,2018,3283,2.12,19575,0.05
Sacramento,2019,3211,2.2,19807,0.05
Sacramento,2020,3406,2.37,19666,0.05
San Benito,2018,103,0.07,2383773,6.04
San Benito,2015,46,0.07,2313162,5.94
San Benito,2016,49,0.07,2337698,5.97
San Benito,2017,89,0.1,2361995,6.01
San Benito,2021,299,0.12,2431647,6.18
San Benito,2019,121,0.08,2400535,6.07
San Benito,2020,140,0.1,2421480,6.12
San Bernardino,2017,2076,2.24,1536517,3.91
San Bernardino,2020,3946,2.74,1585666,4.01
San Bernardino,2018,3621,2.34,1554668,3.94
San Bernardino,2019,3887,2.66,1570918,3.97
San Bernardino,2015,1265,1.98,1502821,3.86
San Bernardino,2016,1454,2.01,1520401,3.89
San Bernardino,2021,8355,3.38,1586031,4.03
San Diego,2018,11768,7.6,61848,0.16
San Diego,2019,11114,7.6,63282,0.16
San Diego,2020,12219,8.5,64110,0.16
San Diego,2016,5218,7.2,60087,0.15
San Diego,2021,21630,8.75,64924,0.16
San Diego,2017,6453,6.96,60733,0.15
San Diego,2015,4824,7.54,59220,0.15
San Francisco,2018,4148,2.68,2160036,5.47
San Francisco,2021,6812,2.75,2181258,5.54
San Francisco,2020,4635,3.22,2181983,5.52
San Francisco,2015,1711,2.67,2119575,5.45
San Francisco,2017,2363,2.55,2147291,5.46
San Francisco,2019,3773,2.58,2174437,5.5
San Francisco,2016,1900,2.62,2132121,5.45
San Joaquin,2021,3030,1.23,3288455,8.35
San Joaquin,2015,350,0.55,3248371,8.35
San Joaquin,2019,1235,0.84,3294272,8.33
San Joaquin,2020,1413,0.98,3303736,8.36
San Joaquin,2017,580,0.63,3276113,8.33
