county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max
Sonoma,2018,2073,1.34,44305,0.11,2,6,8,6000,25500,31500
Sonoma,2019,1629,1.11,44193,0.11,4,6,10,15507,25500,41007
Sonoma,2020,1609,1.12,44091,0.11,4,9,13,15507,27000,42507
Sonoma,2021,2701,1.09,43790,0.11,4,9,13,15507,27000,42507
Sonoma,2022,1465,0.92,488863,1.24,4,7,11,15507,11500,27007
Stanislaus,2015,205,0.32,435902,1.12,0,6,6,0,25500,25500
Stanislaus,2016,252,0.35,441224,1.13,0,6,6,0,25500,25500
Stanislaus,2017,299,0.32,445721,1.13,0,6,6,0,25500,25500
Stanislaus,2018,432,0.28,449091,1.14,0,6,6,0,25500,25500
Stanislaus,2019,440,0.3,451701,1.14,11,6,17,10000,25500,35500
Stanislaus,2020,531,0.37,453405,1.15,11,9,20,10000,27000,37000
Stanislaus,2021,1143,0.46,452532,1.15,11,9,20,10000,27000,37000
Stanislaus,2022,790,0.5,552878,1.4,11,7,18,10000,11500,21500
Sutter,2015,23,0.04,500553,1.29,0,6,6,0,25500,25500
Sutter,2016,14,0.02,501989,1.28,0,6,6,0,25500,25500
Sutter,2017,30,0.03,501111,1.27,0,6,6,0,25500,25500
Sutter,2018,55,0.04,496869,1.26,0,6,6,0,25500,25500
Sutter,2019,75,0.05,492668,1.25,0,6,6,0,25500,25500
Sutter,2020,86,0.06,489880,1.24,0,9,9,0,27000,27000
Sutter,2021,222,0.09,485110,1.23,0,9,9,0,27000,27000
Sutter,2022,149,0.09,99633,0.25,0,7,7,0,11500,11500
Tehama,2015,4,0.01,535436,1.38,0,6,6,0,25500,25500
Tehama,2016,5,0.01,540856,1.38,0,6,6,0,25500,25500
Tehama,2017,7,0.01,546499,1.39,0,6,6,0,25500,25500
Tehama,2018,13,0.01,549544,1.39,0,6,6,0,25500,25500
Tehama,2019,26,0.02,551566,1.4,0,6,6,0,25500,25500
Tehama,2020,31,0.02,553995,1.4,0,9,9,0,27000,27000
Tehama,2021,73,0.03,553138,1.41,0,9,9,0,27000,27000
Tehama,2022,32,0.02,65829,0.17,0,7,7,0,11500,11500
Trinity,2015,4,0.01,95844,0.25,0,6,6,0,25500,25500
Trinity,2016,3,0.0,96517,0.25,0,6,6,0,25500,25500
Trinity,2017,3,0.0,97771,0.25,0,6,6,0,25500,25500
Trinity,2018,4,0.0,99334,0.25,0,6,6,0,25500,25500
Trinity,2019,5,0.0,101046,0.26,1,6,7,500,25500,26000
Trinity,2020,8,0.01,100751,0.25,1,9,10,500,27000,27500
Trinity,2021,8,0.0,101478,0.26,1,9,10,500,27000,27500
Trinity,2022,7,0.0,16112,0.04,1,7,8,500,11500,12000
Tulare,2015,66,0.1,63509,0.16,0,6,6,0,25500,25500
Tulare,2016,93,0.13,63999,0.16,0,6,6,0,25500,25500
Tulare,2017,251,0.27,64141,0.16,0,6,6,0,25500,25500
Tulare,2018,216,0.14,64568,0.16,0,6,6,0,25500,25500
Tulare,2019,226,0.15,65312,0.17,8,6,14,9500,25500,35000
Tulare,2020,290,0.2,65643,0.17,8,9,17,9500,27000,36500
Tulare,2021,608,0.25,65873,0.17,8,9,17,9500,27000,36500
Tulare,2022,384,0.24,473117,1.2,8,7,15,9500,11500,21000
Tuolumne,2015,16,0.03,14228,0.04,0,6,6,0,25500,25500
Tuolumne,2016,12,0.02,14840,0.04,0,6,6,0,25500,25500
Tuolumne,2017,22,0.02,15498,0.04,0,6,6,0,25500,25500
Tuolumne,2018,38,0.02,15754,0.04,0,6,6,0,25500,25500
Tuolumne,2019,45,0.03,16054,0.04,0,6,6,0,25500,25500
Tuolumne,2020,50,0.03,16135,0.04,0,9,9,0,27000,27000
Tuolumne,2021,91,0.04,16047,0.04,0,9,9,0,27000,27000
Tuolumne,2022,60,0.04,55620,0.14,0,7,7,0,11500,11500
Ventura,2015,1169,1.83,459935,1.18,0,6,6,0,25500,25500
Ventura,2016,1402,1.93,462223,1.18,0,6,6,0,25500,25500
Ventura,2017,1831,1.97,465343,1.18,0,6,6,0,25500,25500
Ventura,2018,3096,2.0,467656,1.18,0,6,6,0,25500,25500
Ventura,2019,2916,1.99,470619,1.19,2,6,8,3000,25500,28500
Ventura,2020,2965,2.06,473482,1.2,2,9,11,3000,27000,30000
Ventura,2021,5352,2.16,474998,1.21,2,9,11,3000,27000,30000
Ventura,2022,3631,2.29,843843,2.13,2,7,9,3000,11500,14500
Yolo,2015,222,0.35,55104,0.14,1,6,7,5000,25500,30500
Yolo,2016,225,0.31,55162,0.14,1,6,7,5000,25500,30500
Yolo,2017,331,0.36,55032,0.14,1,6,7,5000,25500,30500
Yolo,2018,638,0.41,55311,0.14,1,6,7,5000,25500,30500
Yolo,2019,600,0.41,55316,0.14,1,6,7,5000,25500,30500
Yolo,2020,545,0.38,55500,0.14,1,9,10,5000,27000,32000
Yolo,2021,976,0.39,54811,0.14,1,9,10,5000,27000,32000
Yolo,2022,587,0.37,216403,0.55,1,7,8,5000,11500,16500
Yuba,2015,13,0.02,75748,0.19,0,6,6,0,25500,25500
Yuba,2016,15,0.02,76782,0.2,0,6,6,0,25500,25500
Yuba,2017,21,0.02,78181,0.2,0,6,6,0,25500,25500
Yuba,2018,41,0.03,79043,0.2,0,6,6,0,25500,25500
Yuba,2019,59,0.04,80250,0.2,0,6,6,0,25500,25500
Yuba,2020,63,0.04,81468,0.21,0,9,9,0,27000,27000
Yuba,2021,125,0.05,82091,0.21,0,9,9,0,27000,27000
Yuba,2022,95,0.06,81575,0.21,0,7,7,0,11500,11500
