county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max
Humboldt,2016,94,0.13,137346,0.35,0,6,6,0,25500,25500
Humboldt,2017,125,0.13,137492,0.35,0,6,6,0,25500,25500
Humboldt,2018,157,0.1,137493,0.35,0,6,6,0,25500,25500
Humboldt,2019,143,0.1,136740,0.35,0,6,6,0,25500,25500
Humboldt,2020,128,0.09,136514,0.35,0,9,9,0,27000,27000
Humboldt,2021,252,0.1,135467,0.34,0,9,9,0,27000,27000
Humboldt,2022,142,0.09,136463,0.35,0,7,7,0,11500,11500
Imperial,2015,15,0.02,179952,0.46,0,6,6,0,25500,25500
Imperial,2016,16,0.02,180280,0.46,0,6,6,0,25500,25500
Imperial,2017,31,0.03,180627,0.46,0,6,6,0,25500,25500
Imperial,2018,49,0.03,180627,0.46,0,6,6,0,25500,25500
Imperial,2019,57,0.04,180809,0.46,1,6,7,500,25500,26000
Imperial,2020,59,0.04,178537,0.45,1,9,10,500,27000,27500
Imperial,2021,212,0.09,177052,0.45,1,9,10,500,27000,27500
Imperial,2022,136,0.09,179702,0.45,1,7,8,500,11500,12000
Inyo,2015,2,0.0,18911,0.05,0,6,6,0,25500,25500
Inyo,2016,8,0.01,18956,0.05,0,6,6,0,25500,25500
Inyo,2017,9,0.01,18945,0.05,0,6,6,0,25500,25500
Inyo,2018,16,0.01,18953,0.05,0,6,6,0,25500,25500
Inyo,2019,8,0.01,18947,0.05,2,6,8,3000,25500,28500
Inyo,2020,22,0.02,18977,0.05,2,9,11,3000,27000,30000
Inyo,2021,35,0.01,18931,0.05,2,9,11,3000,27000,30000
Inyo,2022,16,0.01,19016,0.05,2,7,9,3000,11500,14500
Kern,2015,310,0.48,878081,2.26,0,6,6,0,25500,25500
Kern,2016,305,0.42,880702,2.25,2,6,8,4000,25500,29500
Kern,2017,380,0.41,888203,2.26,2,6,8,4000,25500,29500
Kern,2018,616,0.4,895655,2.27,2,6,8,4000,25500,29500
Kern,2019,594,0.41,903150,2.28,10,6,16,9500,25500,35000
Kern,2020,706,0.49,907021,2.29,10,9,19,9500,27000,36500
Kern,2021,1703,0.69,908283,2.31,10,9,19,9500,27000,36500
Kern,2022,1079,0.68,909235,2.3,10,7,17,9500,11500,21000
Kings,2015,20,0.03,148525,0.38,0,6,6,0,25500,25500
Kings,2016,31,0.04,147615,0.38,0,6,6,0,25500,25500
Kings,2017,56,0.06,148933,0.38,0,6,6,0,25500,25500
Kings,2018,75,0.05,151040,0.38,0,6,6,0,25500,25500
Kings,2019,63,0.04,151691,0.38,6,6,12,9500,25500,35000
Kings,2020,88,0.06,153085,0.39,6,9,15,9500,27000,36500
Kings,2021,207,0.08,153617,0.39,6,9,15,9500,27000,36500
Kings,2022,132,0.08,152486,0.39,6,7,13,9500,11500,21000
Lake,2015,27,0.04,66931,0.17,0,6,6,0,25500,25500
Lake,2016,32,0.04,66945,0.17,0,6,6,0,25500,25500
Lake,2017,39,0.04,67963,0.17,0,6,6,0,25500,25500
Lake,2018,47,0.03,68358,0.17,0,6,6,0,25500,25500
Lake,2019,50,0.03,68114,0.17,0,6,6,0,25500,25500
Lake,2020,43,0.03,68099,0.17,0,9,9,0,27000,27000
Lake,2021,79,0.03,68082,0.17,0,9,9,0,27000,27000
Lake,2022,44,0.03,68163,0.17,0,7,7,0,11500,11500
Lassen,2015,3,0.0,31697,0.08,0,6,6,0,25500,25500
Lassen,2016,3,0.0,32309,0.08,0,6,6,0,25500,25500
Lassen,2017,2,0.0,32655,0.08,0,6,6,0,25500,25500
Lassen,2018,2,0.0,32936,0.08,0,6,6,0,25500,25500
Lassen,2019,4,0.0,32857,0.08,2,6,8,500,25500,26000
Lassen,2020,3,0.0,32025,0.08,2,9,11,500,27000,27500
Lassen,2021,5,0.0,31377,0.08,2,9,11,500,27000,27500
Lassen,2022,5,0.0,32730,0.08,2,7,9,500,11500,12000
Los Angeles,2015,16892,26.4,10083826,25.91,3,6,9,2500,25500,28000
Los Angeles,2016,21263,29.34,10099858,25.81,3,6,9,2500,25500,28000
Los Angeles,2017,26766,28.86,10114636,25.72,5,6,11,2500,25500,28000
Los Angeles,2018,39657,25.61,10100671,25.59,10,6,16,2500,25500,28000
Los Angeles,2019,38219,26.13,10063851,25.46,20,6,26,10511,25500,36011
