county,year,population,percent_change,number_change,pop_percentage
Lassen,2022,32730,0.04,1353,0.08
Los Angeles,2015,10083826,0.31,31328,25.91
Los Angeles,2016,10099858,0.16,16032,25.81
Los Angeles,2017,10114636,0.15,14778,25.72
Los Angeles,2018,10100671,-0.14,-13965,25.59
Los Angeles,2019,10063851,-0.36,-36820,25.46
Los Angeles,2020,10012474,-0.51,-51377,25.32
Los Angeles,2021,9944953,-0.67,-67521,25.26
Los Angeles,2022,10014009,0.01,69056,25.33
Madera,2015,152897,0.19,286,0.39
Madera,2016,153136,0.16,239,0.39
Madera,2017,154238,0.72,1102,0.39
Madera,2018,155476,0.8,1238,0.39
Madera,2019,155291,-0.12,-185,0.39
Madera,2020,156519,0.79,1228,0.4
Madera,2021,156654,0.09,135,0.4
Madera,2022,156255,0.0,-399,0.4
Marin,2015,263964,0.24,629,0.68
Marin,2016,265181,0.46,1217,0.68
Marin,2017,264753,-0.16,-428,0.67
Marin,2018,264944,0.07,191,0.67
Marin,2019,263917,-0.39,-1027,0.67
Marin,2020,262410,-0.57,-1507,0.66
Marin,2021,260416,-0.76,-1994,0.66
Marin,2022,262321,0.01,1905,0.66
Mariposa,2015,152897,0.19,286,0.39
Mariposa,2016,153136,0.16,239,0.39
Mariposa,2017,154238,0.72,1102,0.39
Mariposa,2018,155476,0.8,1238,0.39
Mariposa,2019,155291,-0.12,-185,0.39
Mariposa,2020,156519,0.79,1228,0.4
Mariposa,2021,156654,0.09,135,0.4
Mariposa,2022,17131,-8.14,-139523,0.04
Mendocino,2015,263964,0.24,629,0.68
Mendocino,2016,265181,0.46,1217,0.68
Mendocino,2017,264753,-0.16,-428,0.67
Mendocino,2018,264944,0.07,191,0.67
Mendocino,2019,263917,-0.39,-1027,0.67
Mendocino,2020,262410,-0.57,-1507,0.66
Mendocino,2021,260416,-0.76,-1994,0.66
Mendocino,2022,91601,-1.84,-168815,0.23
Merced,2015,17732,-0.65,-116,0.05
Merced,2016,17644,-0.5,-88,0.05
Merced,2017,17502,-0.8,-142,0.04
Merced,2018,17345,-0.9,-157,0.04
Merced,2019,17213,-0.76,-132,0.04
Merced,2020,17123,-0.52,-90,0.04
Merced,2021,17044,-0.46,-79,0.04
Merced,2022,281202,0.94,264158,0.71
Modoc,2015,90198,0.1,90,0.23
Modoc,2016,91021,0.91,823,0.23
Modoc,2017,91609,0.65,588,0.23
Modoc,2018,91726,0.13,117,0.23
Modoc,2019,91727,0.0,1,0.23
Modoc,2020,91602,-0.14,-125,0.23
Modoc,2021,90806,-0.87,-796,0.23
Modoc,2022,8700,-9.44,-82106,0.02
Mono,2015,267099,0.58,1543,0.69
Mono,2016,268701,0.6,1602,0.69
Mono,2017,272610,1.45,3909,0.69
Mono,2018,274871,0.83,2261,0.7
Mono,2019,278157,1.2,3286,0.7
Mono,2020,280873,0.98,2716,0.71
Mono,2021,283193,0.83,2320,0.72
Mono,2022,13195,-20.46,-269998,0.03
Monterey,2015,8952,-0.08,-7,0.02
Monterey,2016,8795,-1.75,-157,0.02
Monterey,2017,8691,-1.18,-104,0.02
Monterey,2018,8755,0.74,64,0.02
Monterey,2019,8709,-0.53,-46,0.02
Monterey,2020,8703,-0.07,-6,0.02
Monterey,2021,8592,-1.28,-111,0.02
Monterey,2022,439035,0.98,430443,1.11
Napa,2015,13548,-1.23,-169,0.03
Napa,2016,13389,-1.17,-159,0.03
Napa,2017,13355,-0.25,-34,0.03
Napa,2018,13222,-1.0,-133,0.03
Napa,2019,13227,0.04,5,0.03
Napa,2020,13185,-0.32,-42,0.03
Napa,2021,13073,-0.85,-112,0.03
Napa,2022,138019,0.91,124946,0.35
Nevada,2015,433478,1.13,4845,1.11
Nevada,2016,437116,0.84,3638,1.12
Nevada,2017,438011,0.2,895,1.11
Nevada,2018,439618,0.37,1607,1.11
Nevada,2019,440874,0.29,1256,1.12
Nevada,2020,439008,-0.42,-1866,1.11
Nevada,2021,439703,0.16,695,1.12
Nevada,2022,102241,-3.3,-337462,0.26
Orange,2015,140955,0.35,494,0.36
Orange,2016,141089,0.1,134,0.36
Orange,2017,140299,-0.56,-790,0.36
Orange,2018,139558,-0.53,-741,0.35
Orange,2019,138965,-0.42,-593,0.35
Orange,2020,138433,-0.38,-532,0.35
Orange,2021,137600,-0.6,-833,0.35
Orange,2022,3186989,0.96,3049389,8.06
Placer,2015,100456,0.09,86,0.26
Placer,2016,100919,0.46,463,0.26
Placer,2017,101384,0.46,465,0.26
Placer,2018,101920,0.53,536,0.26
Placer,2019,102298,0.37,378,0.26
Placer,2020,102392,0.09,94,0.26
Placer,2021,102033,-0.35,-359,0.26
Placer,2022,404739,0.75,302706,1.02
Plumas,2015,3155895,0.66,20725,8.11
Plumas,2016,3170359,0.46,14464,8.1
Plumas,2017,3188158,0.56,17799,8.11
Plumas,2018,3193464,0.17,5306,8.09
Plumas,2019,3191365,-0.07,-2099,8.07
Plumas,2020,3184513,-0.21,-6852,8.05
Plumas,2021,3161681,-0.72,-22832,8.03
Plumas,2022,19790,-158.76,-3141891,0.05
Riverside,2015,376215,1.02,3808,0.97
Riverside,2016,382010,1.54,5795,0.98
Riverside,2017,388773,1.77,6763,0.99
Riverside,2018,395677,1.78,6904,1.0
Riverside,2019,401671,1.51,5994,1.02
Riverside,2020,405308,0.91,3637,1.03
Riverside,2021,409044,0.92,3736,1.04
Riverside,2022,2418185,0.83,2009141,6.12
Sacramento,2015,19701,-0.38,-75,0.05
Sacramento,2016,19672,-0.15,-29,0.05
Sacramento,2017,19642,-0.15,-30,0.05
Sacramento,2018,19575,-0.34,-67,0.05
Sacramento,2019,19807,1.19,232,0.05
Sacramento,2020,19666,-0.71,-141,0.05
Sacramento,2021,19659,-0.04,-7,0.05
Sacramento,2022,1585055,0.99,1565396,4.01
San Benito,2015,2313162,0.94,21514,5.94
San Benito,2016,2337698,1.06,24536,5.97
San Benito,2017,2361995,1.04,24297,6.01
San Benito,2018,2383773,0.92,21778,6.04
San Benito,2019,2400535,0.7,16762,6.07
San Benito,2020,2421480,0.87,20945,6.12
San Benito,2021,2431647,0.42,10167,6.18
San Benito,2022,64209,-36.87,-2367438,0.16
San Bernardino,2015,1502821,1.2,17815,3.86
San Bernardino,2016,1520401,1.17,17580,3.89
San Bernardino,2017,1536517,1.06,16116,3.91
San Bernardino,2018,1554668,1.18,18151,3.94
San Bernardino,2019,1570918,1.05,16250,3.97
San Bernardino,2020,1585666,0.94,14748,4.01
San Bernardino,2021,1586031,0.02,365,4.03
San Bernardino,2022,2181654,0.27,595623,5.52
San Diego,2015,59220,1.2,705,0.15
San Diego,2016,60087,1.46,867,0.15
San Diego,2017,60733,1.08,646,0.15
San Diego,2018,61848,1.84,1115,0.16
San Diego,2019,63282,2.32,1434,0.16
San Diego,2020,64110,1.31,828,0.16
San Diego,2021,64924,1.27,814,0.16
San Diego,2022,3298634,0.98,3233710,8.34
San Francisco,2015,2119575,0.72,15078,5.45
San Francisco,2016,2132121,0.59,12546,5.45
San Francisco,2017,2147291,0.71,15170,5.46
San Francisco,2018,2160036,0.59,12745,5.47
San Francisco,2019,2174437,0.67,14401,5.5
San Francisco,2020,2181983,0.35,7546,5.52
San Francisco,2021,2181258,-0.03,-725,5.54
San Francisco,2022,873965,-1.5,-1307293,2.21
San Joaquin,2015,3248371,0.62,19883,8.35
San Joaquin,2016,3263517,0.47,15146,8.34
San Joaquin,2017,3276113,0.39,12596,8.33
San Joaquin,2018,3293350,0.53,17237,8.34
San Joaquin,2019,3294272,0.03,922,8.33
San Joaquin,2020,3303736,0.29,9464,8.36
San Joaquin,2021,3288455,-0.46,-15281,8.35
San Joaquin,2022,779233,-3.22,-2509222,1.97
San Luis Obispo,2015,857037,1.01,8563,2.2
San Luis Obispo,2016,863546,0.76,6509,2.21
San Luis Obispo,2017,868879,0.62,5333,2.21
San Luis Obispo,2018,872338,0.4,3459,2.21
San Luis Obispo,2019,872205,-0.02,-133,2.21
San Luis Obispo,2020,870985,-0.14,-1220,2.2
San Luis Obispo,2021,855550,-1.77,-15435,2.17
San Luis Obispo,2022,282424,-2.03,-573126,0.71
San Mateo,2015,729411,1.52,10913,1.87
San Mateo,2016,739814,1.43,10403,1.89
San Mateo,2017,750306,1.42,10492,1.91
San Mateo,2018,759753,1.26,9447,1.92
San Mateo,2019,771083,1.49,11330,1.95
San Mateo,2020,780676,1.24,9593,1.97
San Mateo,2021,786700,0.77,6024,2.0
San Mateo,2022,764442,-0.03,-22258,1.93
Santa Barbara,2015,279800,0.33,913,0.72
Santa Barbara,2016,281681,0.67,1881,0.72
Santa Barbara,2017,282103,0.15,422,0.72
Santa Barbara,2018,282952,0.3,849,0.72
Santa Barbara,2019,282617,-0.12,-335,0.71
Santa Barbara,2020,282996,0.13,379,0.72
Santa Barbara,2021,278607,-1.55,-4389,0.71
Santa Barbara,2022,448229,0.38,169622,1.13
Santa Clara,2015,761484,0.86,6468,1.96
Santa Clara,2016,764070,0.34,2586,1.95
Santa Clara,2017,765601,0.2,1531,1.95
Santa Clara,2018,766711,0.14,1110,1.94
Santa Clara,2019,766312,-0.05,-399,1.94
Santa Clara,2020,763497,-0.37,-2815,1.93
Santa Clara,2021,756655,-0.9,-6842,1.92
Santa Clara,2022,1936259,0.61,1179604,4.9
Santa Cruz,2015,442188,0.86,3767,1.14
Santa Cruz,2016,444277,0.47,2089,1.14
Santa Cruz,2017,445801,0.34,1524,1.13
Santa Cruz,2018,447666,0.42,1865,1.13
Santa Cruz,2019,448815,0.26,1149,1.14
Santa Cruz,2020,448659,-0.03,-156,1.13
Santa Cruz,2021,443121,-1.23,-5538,1.13
Santa Cruz,2022,270861,-0.64,-172260,0.69
Shasta,2015,1914457,1.22,23129,4.92
Shasta,2016,1925914,0.6,11457,4.92
Shasta,2017,1932947,0.37,7033,4.91
Shasta,2018,1937985,0.26,5038,4.91
Shasta,2019,1936521,-0.08,-1464,4.9
Shasta,2020,1933516,-0.16,-3005,4.89
Shasta,2021,1913113,-1.06,-20403,4.86
Shasta,2022,182155,-9.5,-1730958,0.46
Sierra,2015,274762,0.87,2376,0.71
Sierra,2016,275452,0.25,690,0.7
