county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max,previous_evs,household_income,importance_of_gge,homeowner,education,commute_distance,age,gender,number_of_vehicles,annual_miles
Kern,2015,310,0.48,878081,2.26,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Kern,2016,305,0.42,880702,2.25,2,6,8,4000,25500,29500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Kern,2017,380,0.41,888203,2.26,2,6,8,4000,25500,29500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Kings,2015,20,0.03,148525,0.38,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Kings,2016,31,0.04,147615,0.38,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Kings,2017,56,0.06,148933,0.38,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Lake,2015,27,0.04,66931,0.17,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Lake,2016,32,0.04,66945,0.17,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Lake,2017,39,0.04,67963,0.17,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Lassen,2015,3,0.0,31697,0.08,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Lassen,2016,3,0.0,32309,0.08,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Lassen,2017,2,0.0,32655,0.08,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Los Angeles,2015,16892,26.4,10083826,25.91,3,6,9,2500,25500,28000,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Los Angeles,2016,21263,29.34,10099858,25.81,3,6,9,2500,25500,28000,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Los Angeles,2017,26766,28.86,10114636,25.72,5,6,11,2500,25500,28000,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Madera,2015,53,0.08,152897,0.39,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Madera,2016,47,0.06,153136,0.39,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Madera,2017,89,0.1,154238,0.39,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Marin,2015,1105,1.73,263964,0.68,2,6,8,5001,25500,30501,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Marin,2016,1139,1.57,265181,0.68,2,6,8,5001,25500,30501,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Marin,2017,1468,1.58,264753,0.67,3,6,9,8001,25500,33501,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Mariposa,2015,4,0.01,152897,0.39,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Mariposa,2016,9,0.01,153136,0.39,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
