county,year,number_sales
San Luis Obispo,2019,641
San Luis Obispo,2022,778
San Luis Obispo,2016,265
San Luis Obispo,2018,740
San Luis Obispo,2021,1343
San Luis Obispo,2017,372
San Luis Obispo,2015,271
San Mateo,2016,3001
San Mateo,2017,3416
San Mateo,2022,7658
San Mateo,2020,5489
San Mateo,2021,8250
San Mateo,2019,6042
San Mateo,2015,2827
San Mateo,2018,6827
Santa Barbara,2015,347
Santa Barbara,2020,1287
Santa Barbara,2016,510
Santa Barbara,2021,1948
Santa Barbara,2019,946
Santa Barbara,2017,655
Santa Barbara,2022,1084
Santa Barbara,2018,1081
Santa Clara,2017,12688
Santa Clara,2021,22826
Santa Clara,2019,19906
Santa Clara,2020,15281
Santa Clara,2022,13876
Santa Clara,2015,9821
Santa Clara,2018,22311
Santa Clara,2016,10482
Santa Cruz,2017,682
Santa Cruz,2020,1006
Santa Cruz,2018,1088
Santa Cruz,2022,790
Santa Cruz,2021,1508
Santa Cruz,2015,591
Santa Cruz,2019,964
Santa Cruz,2016,573
Shasta,2020,151
Shasta,2017,67
Shasta,2015,36
Shasta,2022,207
Shasta,2021,359
Shasta,2016,49
Shasta,2018,127
Shasta,2019,104
Sierra,2022,2
Sierra,2020,3
Sierra,2021,1
Sierra,2015,1
Siskiyou,2016,6
Siskiyou,2022,24
Siskiyou,2021,37
Siskiyou,2017,14
Siskiyou,2015,7
Siskiyou,2019,11
Siskiyou,2018,14
Siskiyou,2020,14
Solano,2016,389
Solano,2017,528
Solano,2018,972
Solano,2022,1175
Solano,2015,445
Solano,2020,960
Solano,2019,986
Solano,2021,2082
Sonoma,2021,2701
Sonoma,2015,957
Sonoma,2020,1609
Sonoma,2016,997
Sonoma,2017,1595
Sonoma,2018,2073
Sonoma,2019,1629
Sonoma,2022,1465
Stanislaus,2015,205
Stanislaus,2016,252
Stanislaus,2018,432
Stanislaus,2020,531
Stanislaus,2017,299
Stanislaus,2019,440
Stanislaus,2021,1143
Stanislaus,2022,790
Sutter,2016,14
Sutter,2015,23
Sutter,2022,149
Sutter,2019,75
Sutter,2020,86
Sutter,2017,30
Sutter,2018,55
Sutter,2021,222
Tehama,2018,13
Tehama,2021,73
Tehama,2020,31
Tehama,2022,32
Tehama,2015,4
Tehama,2017,7
Tehama,2019,26
Tehama,2016,5
Trinity,2015,4
Trinity,2018,4
Trinity,2019,5
Trinity,2016,3
Trinity,2020,8
Trinity,2022,7
Trinity,2017,3
Trinity,2021,8
Tulare,2022,384
Tulare,2021,608
Tulare,2016,93
Tulare,2015,66
Tulare,2019,226
Tulare,2018,216
Tulare,2020,290
Tulare,2017,251
Tuolumne,2015,16
Tuolumne,2022,60
Tuolumne,2019,45
Tuolumne,2016,12
Tuolumne,2017,22
Tuolumne,2021,91
Tuolumne,2020,50
Tuolumne,2018,38
Ventura,2016,1402
Ventura,2022,3631
Ventura,2018,3096
Ventura,2015,1169
Ventura,2017,1831
Ventura,2020,2965
Ventura,2021,5352
Ventura,2019,2916
Yolo,2021,976
Yolo,2020,545
Yolo,2022,587
Yolo,2016,225
Yolo,2015,222
Yolo,2018,638
Yolo,2017,331
Yolo,2019,600
Yuba,2019,59
Yuba,2022,95
Yuba,2015,13
Yuba,2021,125
Yuba,2016,15
Yuba,2018,41
Yuba,2020,63
Yuba,2017,21
