County,Incentive Type,EV Type,Max Amount,Requirements,Low Income,One-time Use,Program Name or Provider,Start Date,End Date,Customer
Los Angeles,Rebate,BEV,500,Yes,No,Yes,Pasadena Water and Power,8/1/2018,,
Los Angeles,Rebate,BEV,1000,Yes,Yes,Yes,Pasadena Water and Power,8/1/2018,,
Madera,Rebate,BEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Madera,Rebate,FCEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Madera,Rebate,PHEV,2500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Madera,Rebate,PZEV,2000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Madera,Rebate,SULEV,1500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Madera,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Marin,Rebate,Any,3500,Yes,Yes,Yes,Marin Clean Energy,9/12/2018,,
Marin,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Marin,Grant,Any,5000,Yes,Yes,Yes,CHDC Vehicle Financing,,,
Marin,Toll discount,CAV,7,Yes,No,No,California Air Resources Board,1/1/2019,,
Marin,Free parking,BEV,1.8,Yes,No,No,Town of Anselmo,2/8/2011,,
Marin,Grant,EV charger,3000,Yes,No,Yes,Transportation Authority of Marin,7/1/2017,,
Mendocino,Rebate,EV charger,500,Yes,No,Yes,City of Ukiah Electric Utilities Division,2/20/2019,,
Merced,Rebate,BEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Merced,Rebate,FCEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Merced,Rebate,PHEV,2500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Merced,Rebate,PZEV,2000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Merced,Rebate,SULEV,1500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Merced,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Merced,Rebate,Any,500,No,No,No,Turlock Irrigation District,,,
Merced,Rebate,Any,700,Yes,Yes,No,Turlock Irrigation District,,,
Merced,Rebate,EV charger,300,No,No,No,Turlock Irrigation District,,,
Merced,Rebate,EV charger,100,Yes,Yes,No,Turlock Irrigation District,,,
Mono,Rebate,Any,1000,Yes,No,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Mono,Rebate,Any,3000,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Napa,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Napa,Grant,Any,5000,Yes,Yes,Yes,CHDC Vehicle Financing,,,
Napa,Toll discount,CAV,7,Yes,No,No,California Air Resources Board,1/1/2019,,
Nevada,Rebate,EV charger,500,Yes,No,Yes,Truckee Donner Public Utilities District,,,
Orange,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Orange,Rebate,Any,1000,Yes,No,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Orange,Rebate,Any,3000,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Orange,Rebate,EV charger,250,No,No,Yes,South Coast Air Quality Management District,12/10/2021,,
Orange,Rebate,EV charger,250,Yes,Yes,No,South Coast Air Quality Management District,12/10/2021,,
Orange,Rebate,EV charger,1000,Yes,No,No,Anaheim Public Utilities,,,
Placer,Rebate,BEV,250,Yes,No,Yes,Roseville Electric Utility,,,
Placer,Rebate,BEV,1250,Yes,Yes,Yes,Roseville Electric Utility,,,
Placer,Rebate,EV charger,500,Yes,No,Yes,Roseville Electric Utility,,,
Placer,Rebate,PHEV,300,Yes,No,Yes,Roseville Electric Utility,,,
Placer,Rebate,PHEV,700,Yes,Yes,Yes,Roseville Electric Utility,,,
Placer,Rebate,EV charger,250,Yes,Yes,Yes,Roseville Electric Utility,,,
Plumas,Rebate,BEV,500,Yes,No,Yes,Plumas-Sierra Rural Electric Cooperative,,,
Plumas,Rebate,PHEV,500,Yes,No,Yes,Plumas-Sierra Rural Electric Cooperative,,,
Riverside,Rebate,BEV,500,Yes,No,Yes,Riverside Public Utilities Department,7/1/2021,,
Riverside,Rebate,FCEV,500,Yes,No,Yes,Riverside Public Utilities Department,7/1/2021,,
Riverside,Rebate,NEV,250,Yes,No,Yes,Riverside Public Utilities Department,7/1/2021,,
Riverside,Rebate,EM,250,Yes,No,Yes,Riverside Public Utilities Department,7/1/2021,,
Riverside,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Riverside,Rebate,Any,1000,Yes,No,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Riverside,Rebate,Any,3000,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Riverside,Rebate,EV charger,250,No,No,Yes,South Coast Air Quality Management District,12/10/2021,,
Riverside,Rebate,EV charger,250,Yes,Yes,No,South Coast Air Quality Management District,12/10/2021,,
Sacramento,Grant,Any,5000,Yes,Yes,Yes,CHDC Vehicle Financing,,,
Sacramento,Free charging,BEV,16,Yes,No,No,City of Sacramento,,,
San Bernardino,Rebate,Any,1000,Yes,No,Yes,Colton Electric Utility,,,
San Bernardino,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
San Bernardino,Rebate,Any,1000,Yes,No,Yes,Southern California Edison Pre-Owned EV Rebate,,,
San Bernardino,Rebate,Any,3000,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,,
San Bernardino,Rebate,EV charger,250,No,No,Yes,South Coast Air Quality Management District,12/10/2021,,
San Bernardino,Rebate,EV charger,250,Yes,Yes,No,South Coast Air Quality Management District,12/10/2021,,
San Bernardino,Rebate,EV charger,500,Yes,No,Yes,Colton Electric Utility,,,
San Francisco,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
San Francisco,Grant,Any,5000,Yes,Yes,Yes,CHDC Vehicle Financing,,,
San Francisco,Toll discount,CAV,7,Yes,No,No,California Air Resources Board,1/1/2019,,
