Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,El Dorado,PHEV,BMW,i3 REx,10,90732,Electric
2015,El Dorado,PHEV,Cadillac,ELR,5,90740,Electric
2015,El Dorado,PHEV,Chevrolet,Volt,27,90744,Electric
2015,El Dorado,PHEV,Ford,C-MAX Energi,19,90745,Electric
2015,El Dorado,PHEV,Ford,Fusion Energi,27,90746,Electric
2015,El Dorado,PHEV,Porsche,Cayenne,1,90755,Electric
2015,El Dorado,PHEV,Toyota,Prius PHEV,10,90802,Electric
2015,El Dorado,Hydrogen,Toyota,Mirai,2,90803,Electric
2015,Fresno,Electric,BMW,i3,7,90804,Electric
2015,Fresno,Electric,Chevrolet,Spark EV,49,90806,Electric
2015,Fresno,Electric,FIAT,500e,232,90807,Electric
2015,Fresno,Electric,Ford,Focus,27,90808,Electric
2015,Fresno,Electric,Kia,Soul EV,4,90810,Electric
2015,Fresno,Electric,Mercedes-Benz,B-Class,14,90813,Electric
2015,Fresno,Electric,Mitsubishi,i-MiEV,2,90814,Electric
2015,Fresno,Electric,Nissan,Leaf,59,90815,Electric
2015,Fresno,Electric,Smart,Fortwo Electric Drive,2,91001,Electric
2015,Fresno,Electric,Tesla,Model S,44,91006,Electric
2015,Fresno,Electric,Volkswagen,e-Golf,2,91007,Electric
2015,Fresno,PHEV,BMW,i3 REx,13,91010,Electric
2015,Fresno,PHEV,BMW,i8,4,91011,Electric
2015,Fresno,PHEV,Chevrolet,Volt,40,91016,Electric
2015,Fresno,PHEV,Ford,C-MAX Energi,12,91020,Electric
2015,Fresno,PHEV,Ford,Fusion Energi,20,91024,Electric
2015,Fresno,PHEV,Hyundai,Sonata PHEV,1,91030,Electric
2015,Fresno,PHEV,Porsche,Cayenne,1,91040,Electric
2015,Fresno,PHEV,Toyota,Prius PHEV,8,91042,Electric
2015,Glenn,Electric,Volkswagen,e-Golf,2,91101,Electric
2015,Glenn,PHEV,BMW,i3 REx,1,91103,Electric
2015,Glenn,PHEV,Ford,C-MAX Energi,2,91104,Electric
2015,Glenn,PHEV,Toyota,Prius PHEV,1,91105,Electric
2015,Humboldt,Electric,BMW,i3,1,91106,Electric
2015,Humboldt,Electric,Chevrolet,Spark EV,1,91107,Electric
2015,Humboldt,Electric,FIAT,500e,7,91108,Electric
2015,Humboldt,Electric,Ford,Focus,3,91203,Electric
2015,Humboldt,Electric,Kia,Soul EV,2,91204,Electric
2015,Humboldt,Electric,Mercedes-Benz,B-Class,1,91205,Electric
2015,Humboldt,Electric,Nissan,Leaf,10,91206,Electric
2015,Humboldt,Electric,Smart,Fortwo Electric Drive,3,91207,Electric
2015,Humboldt,Electric,Tesla,Model S,5,91208,Electric
2015,Humboldt,Electric,Volkswagen,e-Golf,2,91214,Electric
2015,Humboldt,PHEV,BMW,i3 REx,3,91301,Electric
2015,Humboldt,PHEV,BMW,i8,1,91302,Electric
2015,Humboldt,PHEV,Chevrolet,Volt,12,91303,Electric
2015,Humboldt,PHEV,Ford,C-MAX Energi,10,91304,Electric
2015,Humboldt,PHEV,Ford,Fusion Energi,13,91306,Electric
2015,Humboldt,PHEV,Hyundai,Sonata PHEV,1,91307,Electric
2015,Humboldt,PHEV,Toyota,Prius PHEV,61,91311,Electric
2015,Imperial,Electric,Chevrolet,Spark EV,1,91316,Electric
2015,Imperial,Electric,FIAT,500e,1,91320,Electric
2015,Imperial,Electric,Tesla,Model S,5,91321,Electric
2015,Imperial,Electric,Volkswagen,e-Golf,1,91324,Electric
2015,Imperial,PHEV,Chevrolet,Volt,1,91325,Electric
2015,Imperial,PHEV,Ford,C-MAX Energi,2,91326,Electric
2015,Imperial,PHEV,Ford,Fusion Energi,3,91331,Electric
2015,Imperial,PHEV,Toyota,Prius PHEV,1,91335,Electric
2015,Inyo,PHEV,Toyota,Prius PHEV,2,91340,Electric
2015,Kern,Electric,BMW,i3,4,91342,Electric
2015,Kern,Electric,Chevrolet,Spark EV,17,91343,Electric
2015,Kern,Electric,FIAT,500e,138,91344,Electric
2015,Kern,Electric,Ford,Focus,3,91345,Electric
2015,Kern,Electric,Kia,Soul EV,1,91350,Electric
2015,Kern,Electric,Mercedes-Benz,B-Class,7,91351,Electric
2015,Kern,Electric,Nissan,Leaf,24,91354,Electric
2015,Kern,Electric,Smart,Fortwo Electric Drive,3,91355,Electric
2015,Kern,Electric,Tesla,Model S,30,91356,Electric
2015,Kern,Electric,Volkswagen,e-Golf,4,91360,Electric
2015,Kern,PHEV,BMW,i3 REx,8,91361,Electric
2015,Kern,PHEV,BMW,i8,3,91362,Electric
2015,Kern,PHEV,Chevrolet,Volt,24,91364,Electric
2015,Kern,PHEV,Ford,C-MAX Energi,7,91367,Electric
2015,Kern,PHEV,Ford,Fusion Energi,20,91377,Electric
2015,Kern,PHEV,McLaren,P1,2,91381,Electric
2015,Kern,PHEV,Mercedes-Benz,S-Class,2,91384,Electric
2015,Kern,PHEV,Porsche,Cayenne,2,91387,Electric
2015,Kern,PHEV,Toyota,Prius PHEV,11,91390,Electric
2015,Kings,Electric,FIAT,500e,1,91401,Electric
2015,Kings,Electric,Nissan,Leaf,2,91403,Electric
2015,Kings,Electric,Tesla,Model S,3,91405,Electric
