Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,El Dorado,PHEV,BMW,i3 REx,10,90732,BEV
2015,El Dorado,PHEV,Cadillac,ELR,5,90740,BEV
2015,El Dorado,PHEV,Chevrolet,Volt,27,90744,BEV
2015,El Dorado,PHEV,Ford,C-MAX Energi,19,90745,BEV
2015,El Dorado,PHEV,Ford,Fusion Energi,27,90746,BEV
2015,El Dorado,PHEV,Porsche,Cayenne,1,90755,BEV
2015,El Dorado,PHEV,Toyota,Prius PHEV,10,90802,BEV
2015,El Dorado,FCEV,Toyota,Mirai,2,90803,BEV
2015,Fresno,BEV,BMW,i3,7,90804,BEV
2015,Fresno,BEV,Chevrolet,Spark EV,49,90806,BEV
2015,Fresno,BEV,FIAT,500e,232,90807,BEV
2015,Fresno,BEV,Ford,Focus,27,90808,BEV
2015,Fresno,BEV,Kia,Soul EV,4,90810,BEV
2015,Fresno,BEV,Mercedes-Benz,B-Class,14,90813,BEV
2015,Fresno,BEV,Mitsubishi,i-MiEV,2,90814,BEV
2015,Fresno,BEV,Nissan,Leaf,59,90815,BEV
2015,Fresno,BEV,Smart,Fortwo BEV Drive,2,91001,BEV
2015,Fresno,BEV,Tesla,Model S,44,91006,BEV
2015,Fresno,BEV,Volkswagen,e-Golf,2,91007,BEV
2015,Fresno,PHEV,BMW,i3 REx,13,91010,BEV
2015,Fresno,PHEV,BMW,i8,4,91011,BEV
2015,Fresno,PHEV,Chevrolet,Volt,40,91016,BEV
2015,Fresno,PHEV,Ford,C-MAX Energi,12,91020,BEV
2015,Fresno,PHEV,Ford,Fusion Energi,20,91024,BEV
2015,Fresno,PHEV,Hyundai,Sonata PHEV,1,91030,BEV
2015,Fresno,PHEV,Porsche,Cayenne,1,91040,BEV
2015,Fresno,PHEV,Toyota,Prius PHEV,8,91042,BEV
2015,Glenn,BEV,Volkswagen,e-Golf,2,91101,BEV
2015,Glenn,PHEV,BMW,i3 REx,1,91103,BEV
2015,Glenn,PHEV,Ford,C-MAX Energi,2,91104,BEV
2015,Glenn,PHEV,Toyota,Prius PHEV,1,91105,BEV
2015,Humboldt,BEV,BMW,i3,1,91106,BEV
2015,Humboldt,BEV,Chevrolet,Spark EV,1,91107,BEV
2015,Humboldt,BEV,FIAT,500e,7,91108,BEV
2015,Humboldt,BEV,Ford,Focus,3,91203,BEV
2015,Humboldt,BEV,Kia,Soul EV,2,91204,BEV
2015,Humboldt,BEV,Mercedes-Benz,B-Class,1,91205,BEV
2015,Humboldt,BEV,Nissan,Leaf,10,91206,BEV
2015,Humboldt,BEV,Smart,Fortwo BEV Drive,3,91207,BEV
2015,Humboldt,BEV,Tesla,Model S,5,91208,BEV
2015,Humboldt,BEV,Volkswagen,e-Golf,2,91214,BEV
2015,Humboldt,PHEV,BMW,i3 REx,3,91301,BEV
2015,Humboldt,PHEV,BMW,i8,1,91302,BEV
2015,Humboldt,PHEV,Chevrolet,Volt,12,91303,BEV
2015,Humboldt,PHEV,Ford,C-MAX Energi,10,91304,BEV
2015,Humboldt,PHEV,Ford,Fusion Energi,13,91306,BEV
2015,Humboldt,PHEV,Hyundai,Sonata PHEV,1,91307,BEV
2015,Humboldt,PHEV,Toyota,Prius PHEV,61,91311,BEV
2015,Imperial,BEV,Chevrolet,Spark EV,1,91316,BEV
2015,Imperial,BEV,FIAT,500e,1,91320,BEV
2015,Imperial,BEV,Tesla,Model S,5,91321,BEV
2015,Imperial,BEV,Volkswagen,e-Golf,1,91324,BEV
2015,Imperial,PHEV,Chevrolet,Volt,1,91325,BEV
2015,Imperial,PHEV,Ford,C-MAX Energi,2,91326,BEV
2015,Imperial,PHEV,Ford,Fusion Energi,3,91331,BEV
2015,Imperial,PHEV,Toyota,Prius PHEV,1,91335,BEV
2015,Inyo,PHEV,Toyota,Prius PHEV,2,91340,BEV
2015,Kern,BEV,BMW,i3,4,91342,BEV
2015,Kern,BEV,Chevrolet,Spark EV,17,91343,BEV
2015,Kern,BEV,FIAT,500e,138,91344,BEV
2015,Kern,BEV,Ford,Focus,3,91345,BEV
2015,Kern,BEV,Kia,Soul EV,1,91350,BEV
2015,Kern,BEV,Mercedes-Benz,B-Class,7,91351,BEV
2015,Kern,BEV,Nissan,Leaf,24,91354,BEV
2015,Kern,BEV,Smart,Fortwo BEV Drive,3,91355,BEV
2015,Kern,BEV,Tesla,Model S,30,91356,BEV
2015,Kern,BEV,Volkswagen,e-Golf,4,91360,BEV
2015,Kern,PHEV,BMW,i3 REx,8,91361,BEV
2015,Kern,PHEV,BMW,i8,3,91362,BEV
2015,Kern,PHEV,Chevrolet,Volt,24,91364,BEV
2015,Kern,PHEV,Ford,C-MAX Energi,7,91367,BEV
2015,Kern,PHEV,Ford,Fusion Energi,20,91377,BEV
2015,Kern,PHEV,McLaren,P1,2,91381,BEV
2015,Kern,PHEV,Mercedes-Benz,S-Class,2,91384,BEV
2015,Kern,PHEV,Porsche,Cayenne,2,91387,BEV
2015,Kern,PHEV,Toyota,Prius PHEV,11,91390,BEV
2015,Kings,BEV,FIAT,500e,1,91401,BEV
2015,Kings,BEV,Nissan,Leaf,2,91403,BEV
2015,Kings,BEV,Tesla,Model S,3,91405,BEV
