County,Incentive Type,EV Type,Max Amount,Requirements,Low Income,Customer,One-time Use,Program Name or Provider,Start Date,End Date
Los Angeles,Voucher,PHEV,3000,Yes,No,Yes,Yes,Lancaster Choice Energy,10/14/2019,6/30/2020
Los Angeles,Rebate,Any,1500,Yes,Yes,Yes,Yes,Antelope Valley Air Quality Management District,4/1/2011,1/1/3000
Los Angeles,Rebate,Any,500,Yes,No,Yes,Yes,Pasadena Water and Power,,1/1/3000
Los Angeles,Rebate,Any,1000,Yes,Yes,Yes,Yes,Pasadena Water and Power,,1/1/3000
Los Angeles,Rebate,EV charger,150,Yes,No,Yes,Yes,Azusa Light & Water,11/1/2017,1/1/3000
Los Angeles,Rebate,EV charger,500,Yes,No,Yes,Yes,Burbank Water and Power,,1/1/3000
Los Angeles,Rebate,EV charger,500,Yes,No,Yes,Yes,Glendale Water & Power,7/1/2017,1/1/3000
Los Angeles,Rebate,EV charger,1000,Yes,No,Yes,Yes,Los Angeles Department of Water and Power,8/1/2013,1/1/3000
Los Angeles,Rebate,EV charger,500,Yes,Yes,Yes,Yes,Los Angeles Department of Water and Power,8/1/2013,1/1/3000
Los Angeles,Rebate,EV charger,600,Yes,No,Yes,Yes,Pasadena Water and Power,8/1/2018,1/1/3000
Los Angeles,Rebate,BEV,500,Yes,No,Yes,Yes,Pasadena Water and Power,8/1/2018,1/1/3000
Los Angeles,Rebate,BEV,1000,Yes,Yes,Yes,Yes,Pasadena Water and Power,8/1/2018,1/1/3000
Madera,Rebate,BEV,3000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Madera,Rebate,FCEV,3000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Madera,Rebate,PHEV,2500,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Madera,Rebate,PZEV,2000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Madera,Rebate,SULEV,1500,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Madera,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Marin,Rebate,Any,3500,Yes,Yes,Yes,Yes,Marin Clean Energy,9/12/2018,1/1/3000
Marin,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Marin,Grant,Any,5000,Yes,Yes,No,Yes,CHDC Vehicle Financing,1/1/2015,1/1/3000
Marin,Toll discount,CAV,7,Yes,No,No,No,California Air Resources Board,1/1/2019,1/1/3000
Marin,Free parking,BEV,1.8,Yes,No,No,No,Town of Anselmo,2/8/2011,1/1/3000
Marin,Grant,EV charger,3000,Yes,No,Yes,Yes,Transportation Authority of Marin,7/1/2017,1/1/3000
Mendocino,Rebate,EV charger,500,Yes,No,Yes,Yes,City of Ukiah Electric Utilities Division,2/20/2019,1/1/3000
Merced,Rebate,BEV,3000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Merced,Rebate,FCEV,3000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Merced,Rebate,PHEV,2500,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Merced,Rebate,PZEV,2000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Merced,Rebate,SULEV,1500,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Merced,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Merced,Rebate,Any,500,No,No,Yes,No,Turlock Irrigation District,1/1/2019,1/1/3000
Merced,Rebate,Any,700,Yes,Yes,Yes,No,Turlock Irrigation District,1/1/2019,1/1/3000
Merced,Rebate,EV charger,300,No,No,Yes,No,Turlock Irrigation District,1/1/2019,1/1/3000
Merced,Rebate,EV charger,100,Yes,Yes,Yes,No,Turlock Irrigation District,1/1/2019,1/1/3000
Mono,Rebate,Any,1000,Yes,No,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
Mono,Rebate,Any,3000,Yes,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
Napa,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Napa,Grant,Any,5000,Yes,Yes,No,Yes,CHDC Vehicle Financing,1/1/2015,1/1/3000
Napa,Toll discount,CAV,7,Yes,No,No,No,California Air Resources Board,1/1/2019,1/1/3000
Nevada,Rebate,EV charger,500,Yes,No,Yes,Yes,Truckee Donner Public Utilities District,1/1/2019,1/1/3000
Orange,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Orange,Rebate,Any,1000,Yes,No,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
Orange,Rebate,Any,3000,Yes,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
Orange,Rebate,EV charger,250,No,No,Yes,Yes,South Coast Air Quality Management District,12/10/2021,1/1/3000
Orange,Rebate,EV charger,250,Yes,Yes,Yes,No,South Coast Air Quality Management District,12/10/2021,1/1/3000
Orange,Rebate,EV charger,1000,Yes,No,Yes,No,Anaheim Public Utilities,8/1/2018,1/1/3000
Placer,Rebate,BEV,250,Yes,No,Yes,Yes,Roseville Electric Utility,,1/1/3000
Placer,Rebate,BEV,1250,Yes,Yes,Yes,Yes,Roseville Electric Utility,,1/1/3000
Placer,Rebate,EV charger,500,Yes,No,Yes,Yes,Roseville Electric Utility,,1/1/3000
